subregions,years,animal_price,year_id,subregion_id
Western Europe,1969-1975,58.97,1,4
Western Europe,1969-1975,10.21,1,4
Southern Europe,1969-1975,61.3,1,1
Western Europe,1969-1975,110.54,1,4
,1969-1975,75.16,1,5
Western Europe,1969-1975,52.67,1,4
Southern Europe,1969-1975,238.69,1,1
Western Europe,1969-1975,86.68,1,4
,1969-1975,64.09,1,5
Western Europe,1969-1975,71.18,1,4
Southern Europe,1969-1975,64.05,1,1
Southern Europe,1969-1975,158.41,1,1
Western Europe,1969-1975,108.8,1,4
Southern Europe,1969-1975,151.31,1,1
Western Europe,1969-1975,67.83,1,4
,1969-1975,108.0,1,5
Northern Europe,1969-1975,52.41,1,2
Northern Europe,1969-1975,63.51,1,2
Western Europe,1969-1975,59.17,1,4
Southern Europe,1969-1975,64.45,1,1
Western Europe,1969-1975,42.62,1,4
Western Europe,1969-1975,50.76,1,4
Southern Europe,1969-1975,196.91,1,1
Western Europe,1969-1975,415.34,1,4
Western Europe,1969-1975,78.31,1,4
Western Europe,1969-1975,18.13,1,4
Western Europe,1969-1975,109.32,1,4
Southern Europe,1969-1975,50.41,1,1
Northern Europe,1969-1975,49.79,1,2
Southern Europe,1969-1975,401.34,1,1
Western Europe,1969-1975,85.38,1,4
Western Europe,1969-1975,77.03,1,4
Western Europe,1969-1975,2.68,1,4
Western Europe,1969-1975,73.14,1,4
Southern Europe,1969-1975,191.45,1,1
Northern Europe,1969-1975,14.02,1,2
Northern Europe,1969-1975,63.84,1,2
Western Europe,1969-1975,185.27,1,4
Southern Europe,1969-1975,197.25,1,1
Western Europe,1969-1975,82.73,1,4
Western Europe,1969-1975,71.11,1,4
Northern Europe,1969-1975,83.2,1,2
Western Europe,1969-1975,85.7,1,4
Western Europe,1969-1975,4.31,1,4
Northern Europe,1969-1975,286.06,1,2
Western Europe,1969-1975,75.59,1,4
,1969-1975,77.1,1,5
Southern Europe,1969-1975,96.23,1,1
Western Europe,1969-1975,2.73,1,4
,1969-1975,174.44,1,5
Western Europe,1969-1975,188.84,1,4
Western Europe,1969-1975,80.2,1,4
Southern Europe,1969-1975,69.26,1,1
,1969-1975,115.93,1,5
Northern Europe,1969-1975,40.41,1,2
Northern Europe,1969-1975,15.61,1,2
Western Europe,1969-1975,175.38,1,4
Western Europe,1969-1975,65.64,1,4
Southern Europe,1969-1975,116.08,1,1
,1969-1975,58.26,1,5
Northern Europe,1969-1975,54.02,1,2
Northern Europe,1969-1975,46.31,1,2
Southern Europe,1969-1975,19.98,1,1
Western Europe,1969-1975,190.15,1,4
Western Europe,1969-1975,105.33,1,4
,1969-1975,50.31,1,5
Northern Europe,1969-1975,105.91,1,2
Northern Europe,1969-1975,160.9,1,2
Northern Europe,1969-1975,96.35,1,2
Southern Europe,1969-1975,77.68,1,1
Western Europe,1969-1975,78.46,1,4
Western Europe,1969-1975,87.98,1,4
Southern Europe,1969-1975,3.72,1,1
,1969-1975,14.72,1,5
Southern Europe,1969-1975,87.29,1,1
Western Europe,1969-1975,64.38,1,4
Western Europe,1969-1975,4.03,1,4
Western Europe,1969-1975,48.68,1,4
,1969-1975,2.81,1,5
Northern Europe,1969-1975,47.58,1,2
Western Europe,1969-1975,163.2,1,4
,1969-1975,76.39,1,5
Western Europe,1969-1975,75.06,1,4
Western Europe,1969-1975,72.72,1,4
Western Europe,1969-1975,181.94,1,4
,1969-1975,247.71,1,5
,1969-1975,10.75,1,5
Western Europe,1969-1975,69.97,1,4
Western Europe,1969-1975,48.89,1,4
Western Europe,1969-1975,91.97,1,4
Southern Europe,1969-1975,51.13,1,1
Western Europe,1969-1975,149.77,1,4
Western Europe,1969-1975,122.66,1,4
Southern Europe,1969-1975,89.65,1,1
Northern Europe,1969-1975,9.43,1,2
,1969-1975,61.79,1,5
,1969-1975,55.61,1,5
Western Europe,1969-1975,121.24,1,4
Western Europe,1969-1975,10.18,1,4
Northern Europe,1969-1975,88.66,1,2
Southern Europe,1969-1975,43.1,1,1
Western Europe,1969-1975,133.23,1,4
Western Europe,1969-1975,120.32,1,4
Southern Europe,1969-1975,13.29,1,1
Southern Europe,1969-1975,313.46,1,1
,1969-1975,378.67,1,5
Western Europe,1969-1975,50.11,1,4
Western Europe,1969-1975,72.27,1,4
Western Europe,1969-1975,9.48,1,4
,1969-1975,87.49,1,5
Western Europe,1969-1975,139.64,1,4
Western Europe,1969-1975,113.45,1,4
Western Europe,1969-1975,184.31,1,4
Western Europe,1969-1975,50.47,1,4
Southern Europe,1969-1975,128.08,1,1
Northern Europe,1969-1975,35.34,1,2
Northern Europe,1969-1975,48.76,1,2
Western Europe,1969-1975,76.75,1,4
Northern Europe,1969-1975,116.76,1,2
,1969-1975,79.26,1,5
Southern Europe,1969-1975,94.91,1,1
,1969-1975,87.06,1,5
Southern Europe,1969-1975,179.27,1,1
Western Europe,1969-1975,126.9,1,4
Western Europe,1969-1975,88.65,1,4
Western Europe,1969-1975,86.85,1,4
,1969-1975,102.64,1,5
Southern Europe,1969-1975,111.32,1,1
Western Europe,1969-1975,123.29,1,4
Northern Europe,1969-1975,203.95,1,2
Southern Europe,1969-1975,149.21,1,1
Northern Europe,1969-1975,49.04,1,2
Western Europe,1969-1975,524.74,1,4
Western Europe,1969-1975,128.33,1,4
Northern Europe,1969-1975,100.01,1,2
Western Europe,1969-1975,54.09,1,4
,1969-1975,316.67,1,5
,1969-1975,40.61,1,5
Western Europe,1969-1975,71.85,1,4
Western Europe,1969-1975,123.56,1,4
Southern Europe,1969-1975,678.24,1,1
Western Europe,1969-1975,103.41,1,4
Southern Europe,1969-1975,77.66,1,1
,1969-1975,96.17,1,5
Western Europe,1969-1975,144.6,1,4
,1969-1975,139.42,1,5
Western Europe,1969-1975,82.05,1,4
Southern Europe,1969-1975,135.49,1,1
Western Europe,1969-1975,93.65,1,4
Western Europe,1969-1975,105.35,1,4
Southern Europe,1969-1975,94.12,1,1
Southern Europe,1969-1975,63.71,1,1
Western Europe,1969-1975,127.47,1,4
Northern Europe,1969-1975,55.0,1,2
,1969-1975,65.39,1,5
Southern Europe,1969-1975,83.04,1,1
Southern Europe,1969-1975,162.1,1,1
Northern Europe,1969-1975,66.89,1,2
Western Europe,1969-1975,88.88,1,4
Western Europe,1969-1975,75.02,1,4
,1969-1975,132.23,1,5
Western Europe,1969-1975,167.19,1,4
,1969-1975,96.61,1,5
Western Europe,1969-1975,97.57,1,4
Southern Europe,1969-1975,117.33,1,1
,1969-1975,65.39,1,5
Western Europe,1969-1975,449.28,1,4
,1969-1975,88.89,1,5
Southern Europe,1969-1975,51.05,1,1
Western Europe,1969-1975,309.16,1,4
Western Europe,1969-1975,82.88,1,4
Northern Europe,1969-1975,373.99,1,2
Southern Europe,1969-1975,103.97,1,1
Northern Europe,1969-1975,164.25,1,2
Western Europe,1969-1975,94.04,1,4
Western Europe,1969-1975,90.33,1,4
Northern Europe,1969-1975,103.27,1,2
Western Europe,1969-1975,140.15,1,4
Northern Europe,1969-1975,82.17,1,2
Western Europe,1969-1975,90.78,1,4
Western Europe,1969-1975,102.94,1,4
Western Europe,1969-1975,125.86,1,4
Western Europe,1969-1975,106.42,1,4
Northern Europe,1969-1975,60.99,1,2
Western Europe,1969-1975,95.68,1,4
,1969-1975,91.39,1,5
Southern Europe,1969-1975,68.11,1,1
Northern Europe,1969-1975,93.58,1,2
Northern Europe,1969-1975,94.51,1,2
Western Europe,1969-1975,93.51,1,4
Southern Europe,1969-1975,115.49,1,1
Western Europe,1969-1975,85.15,1,4
Western Europe,1969-1975,88.29,1,4
Western Europe,1969-1975,87.52,1,4
Western Europe,1969-1975,43.89,1,4
Western Europe,1969-1975,101.68,1,4
Southern Europe,1969-1975,226.71,1,1
Western Europe,1969-1975,73.01,1,4
Southern Europe,1969-1975,93.51,1,1
Northern Europe,1969-1975,33.38,1,2
,1969-1975,107.78,1,5
,1969-1975,504.73,1,5
Northern Europe,1969-1975,59.31,1,2
Western Europe,1969-1975,111.77,1,4
Southern Europe,1969-1975,471.94,1,1
Western Europe,1969-1975,137.52,1,4
Western Europe,1969-1975,140.18,1,4
Western Europe,1969-1975,67.4,1,4
Western Europe,1969-1975,79.65,1,4
Southern Europe,1969-1975,69.65,1,1
Western Europe,1969-1975,95.06,1,4
Western Europe,1969-1975,48.2,1,4
Northern Europe,1969-1975,66.91,1,2
Western Europe,1969-1975,314.81,1,4
Western Europe,1969-1975,84.48,1,4
Southern Europe,1969-1975,114.83,1,1
Western Europe,1969-1975,2.89,1,4
Western Europe,1969-1975,199.39,1,4
,1969-1975,125.0,1,5
Western Europe,1969-1975,114.81,1,4
Western Europe,1969-1975,91.46,1,4
Southern Europe,1969-1975,194.15,1,1
Western Europe,1969-1975,10.53,1,4
Western Europe,1969-1975,11.32,1,4
Southern Europe,1969-1975,68.33,1,1
Northern Europe,1969-1975,8.73,1,2
Western Europe,1969-1975,4.39,1,4
Western Europe,1969-1975,91.51,1,4
Western Europe,1969-1975,75.3,1,4
Western Europe,1969-1975,199.55,1,4
Northern Europe,1969-1975,2.79,1,2
Northern Europe,1969-1975,70.61,1,2
Southern Europe,1969-1975,3.59,1,1
Western Europe,1969-1975,184.09,1,4
Northern Europe,1969-1975,22.34,1,2
Northern Europe,1969-1975,16.95,1,2
Northern Europe,1969-1975,53.28,1,2
Northern Europe,1969-1975,58.29,1,2
Northern Europe,1969-1975,62.84,1,2
,1969-1975,111.67,1,5
Western Europe,1969-1975,46.67,1,4
,1969-1975,116.34,1,5
,1969-1975,2.87,1,5
Western Europe,1969-1975,116.14,1,4
Southern Europe,1969-1975,90.41,1,1
Western Europe,1969-1975,82.02,1,4
Northern Europe,1969-1975,128.26,1,2
Western Europe,1969-1975,4.11,1,4
Western Europe,1969-1975,187.93,1,4
Western Europe,1969-1975,92.48,1,4
,1969-1975,91.56,1,5
Western Europe,1969-1975,122.18,1,4
Western Europe,1969-1975,2.73,1,4
Southern Europe,1969-1975,54.13,1,1
Southern Europe,1969-1975,342.54,1,1
,1969-1975,11.16,1,5
Western Europe,1969-1975,10.8,1,4
Western Europe,1969-1975,63.12,1,4
Western Europe,1969-1975,119.08,1,4
Northern Europe,1969-1975,48.27,1,2
Northern Europe,1969-1975,104.49,1,2
Northern Europe,1969-1975,49.68,1,2
Western Europe,1969-1975,54.23,1,4
Western Europe,1969-1975,65.62,1,4
,1969-1975,75.89,1,5
Northern Europe,1969-1975,9.2,1,2
Western Europe,1969-1975,11.57,1,4
Northern Europe,1969-1975,109.01,1,2
Northern Europe,1969-1975,9.63,1,2
Western Europe,1969-1975,135.76,1,4
Northern Europe,1969-1975,113.89,1,2
Western Europe,1969-1975,73.07,1,4
,1969-1975,181.48,1,5
Western Europe,1969-1975,11.72,1,4
Southern Europe,1969-1975,195.75,1,1
,1969-1975,66.11,1,5
Southern Europe,1969-1975,271.56,1,1
Western Europe,1969-1975,64.5,1,4
Southern Europe,1969-1975,14.11,1,1
Western Europe,1969-1975,156.97,1,4
Western Europe,1969-1975,10.82,1,4
Western Europe,1969-1975,10.84,1,4
Western Europe,1969-1975,158.52,1,4
Northern Europe,1969-1975,9.47,1,2
,1969-1975,11.6,1,5
,1969-1975,55.28,1,5
Western Europe,1969-1975,9.97,1,4
Northern Europe,1969-1975,56.35,1,2
Western Europe,1969-1975,117.98,1,4
Western Europe,1969-1975,191.62,1,4
Western Europe,1969-1975,54.8,1,4
Western Europe,1969-1975,99.9,1,4
Southern Europe,1969-1975,79.8,1,1
Western Europe,1969-1975,182.95,1,4
Western Europe,1969-1975,73.86,1,4
Western Europe,1969-1975,65.76,1,4
Western Europe,1969-1975,102.52,1,4
,1969-1975,230.56,1,5
,1969-1975,16.53,1,5
Northern Europe,1969-1975,157.19,1,2
Northern Europe,1969-1975,13.03,1,2
Western Europe,1969-1975,52.28,1,4
Southern Europe,1969-1975,228.08,1,1
,1969-1975,63.33,1,5
Western Europe,1969-1975,50.6,1,4
Western Europe,1969-1975,69.91,1,4
Western Europe,1969-1975,53.91,1,4
Western Europe,1969-1975,100.93,1,4
,1969-1975,104.17,1,5
Western Europe,1969-1975,228.54,1,4
Western Europe,1969-1975,20.93,1,4
Western Europe,1969-1975,55.33,1,4
Western Europe,1969-1975,220.7,1,4
Southern Europe,1969-1975,19.95,1,1
,1969-1975,98.61,1,5
,1969-1975,45.56,1,5
Western Europe,1969-1975,133.44,1,4
,1969-1975,12.4,1,5
Western Europe,1969-1975,114.31,1,4
,1969-1975,126.44,1,5
Western Europe,1969-1975,171.53,1,4
Western Europe,1969-1975,130.05,1,4
,1969-1975,245.88,1,5
Western Europe,1969-1975,98.7,1,4
Western Europe,1969-1975,70.65,1,4
Northern Europe,1969-1975,41.11,1,2
Western Europe,1969-1975,150.5,1,4
Western Europe,1969-1975,156.92,1,4
Western Europe,1969-1975,12.18,1,4
Southern Europe,1969-1975,125.8,1,1
Northern Europe,1969-1975,96.14,1,2
Northern Europe,1969-1975,93.07,1,2
,1969-1975,110.83,1,5
Western Europe,1969-1975,134.06,1,4
,1969-1975,69.85,1,5
Northern Europe,1969-1975,535.19,1,2
Western Europe,1969-1975,115.22,1,4
Northern Europe,1969-1975,136.19,1,2
Southern Europe,1969-1975,96.03,1,1
Northern Europe,1969-1975,9.3,1,2
,1969-1975,139.71,1,5
Northern Europe,1969-1975,93.01,1,2
,1969-1975,105.06,1,5
Western Europe,1969-1975,63.99,1,4
Western Europe,1969-1975,136.67,1,4
Western Europe,1969-1975,146.5,1,4
Western Europe,1969-1975,98.53,1,4
Western Europe,1969-1975,12.88,1,4
Western Europe,1969-1975,328.4,1,4
Western Europe,1969-1975,135.16,1,4
Western Europe,1969-1975,94.14,1,4
Northern Europe,1969-1975,12.54,1,2
Southern Europe,1969-1975,155.19,1,1
Western Europe,1969-1975,613.25,1,4
Northern Europe,1969-1975,61.08,1,2
Northern Europe,1969-1975,80.1,1,2
Western Europe,1969-1975,118.76,1,4
Western Europe,1969-1975,109.59,1,4
Western Europe,1969-1975,10.88,1,4
Southern Europe,1969-1975,98.88,1,1
,1969-1975,48.71,1,5
Western Europe,1969-1975,121.26,1,4
Western Europe,1969-1975,71.88,1,4
Southern Europe,1969-1975,13.03,1,1
Northern Europe,1969-1975,104.81,1,2
Western Europe,1969-1975,517.94,1,4
Southern Europe,1969-1975,55.94,1,1
,1969-1975,67.08,1,5
,1969-1975,145.83,1,5
Western Europe,1969-1975,164.2,1,4
Northern Europe,1969-1975,140.49,1,2
Western Europe,1969-1975,249.97,1,4
Western Europe,1969-1975,11.54,1,4
Southern Europe,1969-1975,322.93,1,1
Western Europe,1969-1975,164.6,1,4
Western Europe,1969-1975,97.36,1,4
Western Europe,1969-1975,120.08,1,4
Western Europe,1969-1975,67.69,1,4
Western Europe,1969-1975,59.82,1,4
Western Europe,1969-1975,127.07,1,4
Western Europe,1969-1975,237.42,1,4
Western Europe,1969-1975,205.93,1,4
Western Europe,1969-1975,5.08,1,4
Northern Europe,1969-1975,234.17,1,2
,1969-1975,323.46,1,5
Western Europe,1969-1975,201.99,1,4
Western Europe,1969-1975,100.23,1,4
Western Europe,1969-1975,117.14,1,4
Western Europe,1969-1975,113.64,1,4
Northern Europe,1969-1975,66.59,1,2
,1969-1975,99.37,1,5
Southern Europe,1969-1975,4.43,1,1
Southern Europe,1969-1975,111.49,1,1
Northern Europe,1969-1975,173.54,1,2
Western Europe,1969-1975,115.06,1,4
Western Europe,1969-1975,133.41,1,4
,1969-1975,18.14,1,5
Northern Europe,1969-1975,107.61,1,2
Western Europe,1969-1975,94.83,1,4
Southern Europe,1969-1975,95.66,1,1
,1969-1975,147.12,1,5
Northern Europe,1969-1975,76.46,1,2
Southern Europe,1969-1975,18.19,1,1
Western Europe,1969-1975,240.71,1,4
Northern Europe,1969-1975,72.82,1,2
,1969-1975,64.46,1,5
Northern Europe,1969-1975,57.99,1,2
,1969-1975,3.74,1,5
Northern Europe,1969-1975,20.5,1,2
,1969-1975,87.97,1,5
Western Europe,1969-1975,63.1,1,4
Western Europe,1969-1975,94.1,1,4
Western Europe,1969-1975,188.05,1,4
Southern Europe,1969-1975,135.17,1,1
Western Europe,1969-1975,23.6,1,4
Southern Europe,1969-1975,91.27,1,1
,1969-1975,562.34,1,5
Western Europe,1969-1975,109.73,1,4
Western Europe,1969-1975,98.83,1,4
Western Europe,1969-1975,117.93,1,4
Western Europe,1969-1975,100.88,1,4
Southern Europe,1969-1975,467.06,1,1
Western Europe,1969-1975,5.37,1,4
Western Europe,1969-1975,142.82,1,4
,1969-1975,186.38,1,5
Western Europe,1969-1975,131.9,1,4
Southern Europe,1969-1975,650.21,1,1
Western Europe,1969-1975,3.62,1,4
Southern Europe,1969-1975,116.88,1,1
Western Europe,1969-1975,202.67,1,4
Western Europe,1969-1975,66.54,1,4
Northern Europe,1969-1975,95.06,1,2
Southern Europe,1969-1975,172.04,1,1
Northern Europe,1969-1975,376.45,1,2
Western Europe,1969-1975,150.34,1,4
Western Europe,1969-1975,110.46,1,4
Western Europe,1969-1975,110.9,1,4
Western Europe,1969-1975,208.13,1,4
Northern Europe,1969-1975,11.15,1,2
Western Europe,1969-1975,3.25,1,4
Northern Europe,1969-1975,82.39,1,2
Southern Europe,1969-1975,88.63,1,1
Western Europe,1969-1975,123.91,1,4
Southern Europe,1969-1975,214.29,1,1
Northern Europe,1969-1975,3.47,1,2
Northern Europe,1969-1975,83.61,1,2
Western Europe,1969-1975,103.04,1,4
,1969-1975,75.51,1,5
Northern Europe,1969-1975,32.65,1,2
,1969-1975,53.14,1,5
Western Europe,1969-1975,74.71,1,4
Northern Europe,1969-1975,68.58,1,2
Southern Europe,1969-1975,195.51,1,1
,1969-1975,11.94,1,5
Western Europe,1969-1975,12.49,1,4
Southern Europe,1969-1975,140.21,1,1
Western Europe,1969-1975,58.81,1,4
Southern Europe,1969-1975,83.34,1,1
Western Europe,1969-1975,12.16,1,4
Western Europe,1969-1975,135.89,1,4
Northern Europe,1969-1975,49.37,1,2
,1969-1975,107.63,1,5
Western Europe,1969-1975,225.14,1,4
Northern Europe,1969-1975,94.04,1,2
Northern Europe,1969-1975,48.54,1,2
Western Europe,1969-1975,82.3,1,4
Southern Europe,1969-1975,195.4,1,1
Western Europe,1969-1975,151.07,1,4
Western Europe,1969-1975,109.92,1,4
Western Europe,1969-1975,57.99,1,4
Western Europe,1969-1975,137.65,1,4
,1969-1975,100.19,1,5
Western Europe,1969-1975,114.45,1,4
Southern Europe,1969-1975,65.64,1,1
Southern Europe,1969-1975,262.49,1,1
Western Europe,1969-1975,78.13,1,4
Western Europe,1969-1975,192.28,1,4
,1969-1975,106.23,1,5
Western Europe,1969-1975,61.82,1,4
Western Europe,1969-1975,92.73,1,4
Northern Europe,1969-1975,70.79,1,2
Southern Europe,1969-1975,175.86,1,1
Western Europe,1969-1975,152.16,1,4
,1969-1975,80.73,1,5
Western Europe,1969-1975,132.46,1,4
Northern Europe,1969-1975,70.23,1,2
Western Europe,1969-1975,89.39,1,4
Western Europe,1969-1975,80.97,1,4
Northern Europe,1969-1975,9.14,1,2
Southern Europe,1969-1975,98.62,1,1
Western Europe,1969-1975,95.4,1,4
Northern Europe,1969-1975,146.96,1,2
,1969-1975,136.5,1,5
Southern Europe,1969-1975,109.67,1,1
Southern Europe,1969-1975,97.77,1,1
,1969-1975,121.28,1,5
Western Europe,1969-1975,100.11,1,4
Northern Europe,1969-1975,71.06,1,2
Western Europe,1969-1975,74.07,1,4
Western Europe,1969-1975,91.84,1,4
,1969-1975,93.51,1,5
Western Europe,1969-1975,11.4,1,4
Southern Europe,1969-1975,84.02,1,1
Northern Europe,1969-1975,11.33,1,2
Northern Europe,1969-1975,97.97,1,2
,1969-1975,121.04,1,5
Southern Europe,1969-1975,78.81,1,1
Western Europe,1969-1975,140.4,1,4
Western Europe,1969-1975,87.5,1,4
Western Europe,1969-1975,12.61,1,4
Western Europe,1969-1975,92.7,1,4
Southern Europe,1969-1975,68.61,1,1
Southern Europe,1969-1975,122.78,1,1
Northern Europe,1969-1975,96.87,1,2
Western Europe,1969-1975,75.96,1,4
Western Europe,1969-1975,61.63,1,4
,1969-1975,133.29,1,5
Northern Europe,1969-1975,56.42,1,2
Western Europe,1969-1975,331.21,1,4
Western Europe,1969-1975,59.92,1,4
Western Europe,1969-1975,80.29,1,4
Western Europe,1969-1975,121.29,1,4
Western Europe,1969-1975,98.6,1,4
Western Europe,1969-1975,98.84,1,4
Western Europe,1969-1975,58.64,1,4
,1969-1975,3.66,1,5
,1969-1975,76.32,1,5
Northern Europe,1969-1975,38.66,1,2
Northern Europe,1969-1975,69.15,1,2
,1969-1975,96.4,1,5
Southern Europe,1969-1975,200.17,1,1
Northern Europe,1969-1975,49.73,1,2
Western Europe,1969-1975,89.76,1,4
Northern Europe,1969-1975,67.67,1,2
Northern Europe,1969-1975,88.85,1,2
Western Europe,1969-1975,142.05,1,4
Western Europe,1969-1975,96.13,1,4
Western Europe,1969-1975,207.81,1,4
Western Europe,1969-1975,115.01,1,4
Western Europe,1969-1975,107.58,1,4
Southern Europe,1969-1975,120.15,1,1
Western Europe,1969-1975,75.25,1,4
Northern Europe,1969-1975,174.15,1,2
Northern Europe,1969-1975,79.62,1,2
Northern Europe,1969-1975,90.96,1,2
Southern Europe,1969-1975,122.96,1,1
Western Europe,1969-1975,12.59,1,4
Northern Europe,1969-1975,3.6,1,2
Western Europe,1969-1975,105.07,1,4
Western Europe,1969-1975,3.3,1,4
Northern Europe,1969-1975,100.29,1,2
Southern Europe,1969-1975,91.29,1,1
Southern Europe,1969-1975,3.67,1,1
Western Europe,1969-1975,212.95,1,4
Western Europe,1969-1975,85.14,1,4
Western Europe,1969-1975,4.94,1,4
,1969-1975,300.85,1,5
Western Europe,1969-1975,166.2,1,4
Western Europe,1969-1975,85.12,1,4
Southern Europe,1969-1975,105.27,1,1
Northern Europe,1969-1975,5.02,1,2
Northern Europe,1969-1975,60.24,1,2
Western Europe,1969-1975,90.39,1,4
Western Europe,1969-1975,75.57,1,4
Northern Europe,1969-1975,182.8,1,2
Western Europe,1969-1975,118.14,1,4
Western Europe,1969-1975,101.0,1,4
Western Europe,1969-1975,59.81,1,4
,1969-1975,136.93,1,5
Western Europe,1969-1975,82.29,1,4
,1969-1975,131.82,1,5
Northern Europe,1969-1975,90.5,1,2
Western Europe,1969-1975,87.84,1,4
,1969-1975,121.1,1,5
Western Europe,1969-1975,86.9,1,4
Western Europe,1969-1975,164.58,1,4
Northern Europe,1969-1975,523.61,1,2
Southern Europe,1969-1975,94.14,1,1
Western Europe,1969-1975,74.77,1,4
,1969-1975,232.73,1,5
Western Europe,1969-1975,101.55,1,4
Western Europe,1969-1975,87.47,1,4
,1969-1975,54.05,1,5
,1969-1975,514.97,1,5
Western Europe,1969-1975,139.42,1,4
Southern Europe,1969-1975,638.97,1,1
Western Europe,1969-1975,164.07,1,4
Western Europe,1969-1975,228.83,1,4
Northern Europe,1969-1975,78.78,1,2
Western Europe,1969-1975,160.63,1,4
Western Europe,1969-1975,600.63,1,4
Western Europe,1969-1975,94.6,1,4
